Customer_ID,Age,Gender,Region,Employment_Status,Education_Level,Years_Driving,Car_Make,Car_Model,Manufacture_Year,Annual_Mileage,Number_of_Accidents,Number_of_Claims,Car_Value,Premium_Amount,Marital_Status,Has_AntiTheft_Device,Policy_Term,Credit_Score,Vehicle_Usage
1,56,Female,Rural,Retired,Master's Degree,22,Volkswagen,Golf,2000,18319,3,0,1600866,50112,Single,1,12,384,Commute
2,69,Female,Urban,Employed,Master's Degree,28,BMW,X5,2003,27863,5,1,1737234,40194,Single,0,12,419,Business
3,46,Male,Rural,Self-Employed,Bachelor's Degree,0,Chevrolet,Equinox,2006,14834,1,6,315990,57348,Single,1,12,626,Pleasure
4,32,Male,Suburban,Self-Employed,Associate Degree,14,Kia,Forte,2021,24495,3,5,1098846,83502,Widowed,1,6,582,Business
5,60,Male,Rural,Employed,Doctorate,14,Volkswagen,Passat,2004,24366,1,6,1209096,14040,Single,1,6,590,Pleasure
6,25,Male,Suburban,Employed,Doctorate,27,Kia,Sportage,2005,10075,3,5,285678,70614,Widowed,0,6,360,Business
7,78,Male,Rural,Retired,Master's Degree,35,Nissan,Rogue,1995,20222,1,6,1119474,28404,Married,1,12,424,Commute
8,38,Female,Rural,Employed,Master's Degree,41,BMW,3 Series,2004,19011,0,6,1410084,24174,Widowed,1,6,344,Commute
9,56,Male,Urban,Employed,Bachelor's Degree,39,Volkswagen,Jetta,2019,27857,3,5,1245168,65718,Widowed,1,6,713,Business
10,75,Male,Rural,Employed,Master's Degree,31,Hyundai,Santa Fe,2010,5242,1,7,196614,70200,Married,0,6,390,Business
11,36,Male,Urban,Unemployed,Associate Degree,45,Ford,Escape,2013,26438,2,6,1236618,70506,Widowed,0,12,761,Commute
12,40,Male,Suburban,Employed,Master's Degree,12,Chevrolet,Equinox,2004,21863,2,8,1322730,73332,Married,0,6,690,Business
13,28,Male,Suburban,Self-Employed,Master's Degree,20,Ford,Focus,2009,10214,3,4,928116,71460,Married,0,6,662,Commute
14,28,Female,Urban,Retired,Associate Degree,48,Volkswagen,Jetta,2008,10030,5,7,1446624,14814,Single,0,12,489,Pleasure
15,41,Male,Suburban,Retired,High School,38,Toyota,Corolla,1997,13400,1,7,294552,60552,Widowed,0,6,705,Pleasure
16,70,Male,Rural,Retired,Doctorate,37,Chevrolet,Equinox,1998,14737,0,7,174636,58698,Divorced,0,6,640,Commute
17,53,Male,Urban,Unemployed,Master's Degree,8,Honda,Accord,2002,29532,5,3,589536,25974,Single,0,6,354,Commute
18,57,Female,Urban,Self-Employed,Associate Degree,19,Kia,Sportage,1995,17188,5,8,1338408,28206,Single,1,6,413,Commute
19,41,Female,Urban,Employed,Doctorate,19,Ford,Escape,2014,24009,3,9,1189026,33102,Widowed,1,12,842,Commute
20,20,Male,Suburban,Self-Employed,Bachelor's Degree,7,Kia,Forte,2009,5480,0,3,1559412,31266,Married,0,12,609,Commute
21,39,Male,Suburban,Retired,High School,13,Toyota,Corolla,2001,12691,1,5,1078902,36540,Married,0,12,838,Business
22,70,Female,Rural,Employed,Master's Degree,61,Kia,Forte,2006,22932,2,5,866556,82980,Single,0,6,634,Commute
23,19,Female,Rural,Retired,High School,19,Mercedes,E-Class,1997,6958,1,1,915192,41886,Widowed,1,12,608,Business
24,41,Female,Urban,Retired,Master's Degree,34,Nissan,Rogue,2017,6637,5,6,838422,77832,Widowed,1,6,700,Pleasure
25,61,Male,Rural,Retired,Master's Degree,54,Chevrolet,Impala,2021,25140,0,6,351936,35550,Single,0,6,652,Pleasure
26,47,Male,Suburban,Self-Employed,Master's Degree,44,Nissan,Altima,1999,7260,2,0,1628226,69228,Divorced,0,6,416,Pleasure
27,55,Female,Rural,Self-Employed,High School,20,Kia,Sportage,2020,22576,3,4,1774944,56466,Married,1,12,575,Business
28,19,Male,Suburban,Retired,Bachelor's Degree,40,Hyundai,Elantra,2021,7017,2,8,1495080,33660,Divorced,0,6,309,Commute
29,77,Female,Rural,Retired,Associate Degree,52,Honda,CR-V,2019,18885,5,9,948456,48006,Widowed,0,6,764,Commute
30,38,Female,Suburban,Employed,Associate Degree,40,Mercedes,E-Class,2002,28426,5,4,446904,87786,Single,0,6,602,Pleasure
31,50,Female,Suburban,Retired,Bachelor's Degree,53,Mercedes,C-Class,2005,21904,3,9,1296972,15498,Married,1,6,490,Pleasure
32,29,Male,Rural,Retired,Bachelor's Degree,21,Ford,Focus,2013,26419,5,6,433530,17946,Widowed,1,12,361,Pleasure
33,75,Female,Rural,Retired,Master's Degree,42,Ford,Fiesta,2006,20996,3,8,743472,69984,Single,0,12,509,Pleasure
34,39,Female,Suburban,Retired,Master's Degree,5,BMW,3 Series,2014,18985,2,0,801000,39150,Married,1,12,359,Business
35,78,Male,Urban,Self-Employed,Associate Degree,54,Toyota,Corolla,2001,13210,2,8,643122,77616,Divorced,1,12,628,Commute
36,61,Female,Rural,Retired,Master's Degree,43,BMW,3 Series,2008,20446,5,3,1259568,52326,Widowed,1,12,746,Business
37,42,Male,Suburban,Unemployed,Master's Degree,26,Volkswagen,Passat,1996,9625,0,0,1662300,78750,Divorced,0,12,811,Pleasure
38,66,Female,Rural,Retired,Bachelor's Degree,3,Chevrolet,Malibu,2020,7284,2,7,1536930,81612,Married,1,12,445,Commute
39,44,Male,Rural,Self-Employed,High School,3,Chevrolet,Impala,2021,7151,4,2,1112976,60894,Divorced,1,6,835,Pleasure
40,76,Female,Rural,Unemployed,Doctorate,56,Nissan,Altima,2016,22320,2,7,1353420,80964,Divorced,1,6,813,Pleasure
41,59,Female,Rural,Unemployed,Doctorate,27,Chevrolet,Malibu,2019,21620,0,5,146916,41976,Single,1,6,762,Commute
42,45,Female,Rural,Retired,Master's Degree,54,Chevrolet,Malibu,2006,18949,4,5,672084,57870,Married,1,12,734,Pleasure
43,77,Female,Urban,Retired,Master's Degree,26,Toyota,Corolla,2003,8173,4,7,1753794,77148,Widowed,0,6,794,Pleasure
44,33,Female,Urban,Self-Employed,Doctorate,57,Nissan,Sentra,2016,23355,1,8,668160,44388,Single,0,12,787,Commute
45,32,Male,Urban,Unemployed,Bachelor's Degree,53,Volkswagen,Passat,2006,20497,4,7,1079712,35334,Widowed,1,6,626,Business
46,79,Male,Suburban,Unemployed,Doctorate,16,Volkswagen,Jetta,2000,14134,5,6,146394,22428,Divorced,1,12,637,Commute
47,79,Female,Urban,Self-Employed,Doctorate,38,Mercedes,E-Class,2000,5390,3,2,1094976,63414,Single,0,6,502,Pleasure
48,64,Female,Urban,Retired,Doctorate,37,Nissan,Sentra,2021,7808,0,3,1033866,22338,Divorced,0,6,400,Business
49,79,Female,Suburban,Employed,Master's Degree,59,Chevrolet,Equinox,2020,8851,1,8,771048,69408,Divorced,1,6,646,Commute
50,68,Male,Urban,Employed,Master's Degree,51,Mercedes,C-Class,2016,17904,2,3,1125000,27684,Single,1,12,319,Pleasure
51,61,Male,Rural,Unemployed,Doctorate,28,Ford,Focus,2013,19752,4,7,750996,70416,Single,0,6,675,Pleasure
52,72,Female,Urban,Unemployed,Master's Degree,39,Chevrolet,Equinox,2014,26464,5,5,540810,85266,Married,0,6,363,Business
53,69,Male,Urban,Retired,Doctorate,6,Honda,Accord,2000,17123,1,4,598302,14094,Married,0,12,426,Business
54,74,Female,Urban,Employed,Bachelor's Degree,7,Kia,Forte,2020,10143,3,6,1149732,58770,Widowed,0,12,397,Business
55,20,Female,Rural,Unemployed,Master's Degree,40,Honda,Accord,2011,24887,1,0,1208718,64926,Single,1,6,623,Business
56,54,Female,Rural,Retired,High School,32,Hyundai,Elantra,2011,18598,3,9,972216,49122,Divorced,1,6,506,Commute
57,68,Male,Rural,Employed,Master's Degree,31,Nissan,Rogue,2017,20441,1,2,1042722,34488,Divorced,1,6,760,Commute
58,24,Female,Rural,Self-Employed,Bachelor's Degree,34,BMW,X5,2011,15566,5,4,704088,49806,Widowed,1,12,581,Pleasure
59,38,Female,Suburban,Unemployed,Bachelor's Degree,17,Ford,Escape,2015,12665,1,3,711162,89586,Married,0,6,735,Commute
60,26,Female,Rural,Self-Employed,Master's Degree,50,Nissan,Sentra,2004,19919,2,2,1494558,65772,Single,0,12,820,Commute
61,56,Male,Rural,Employed,Associate Degree,58,BMW,5 Series,2005,5629,5,2,214164,65304,Married,0,6,304,Pleasure
62,35,Male,Rural,Retired,Doctorate,42,BMW,5 Series,2002,25878,2,8,700002,80316,Widowed,1,6,457,Business
63,21,Male,Rural,Retired,Doctorate,15,Hyundai,Elantra,2016,16813,5,4,956466,12204,Married,0,12,559,Pleasure
