Customer_ID,Age,Gender,Region,Employment_Status,Education_Level,Years_Driving,Car_Make,Car_Model,Manufacture_Year,Annual_Mileage,Number_of_Accidents,Number_of_Claims,Car_Value,Premium_Amount,Marital_Status,Has_AntiTheft_Device,Policy_Term,Credit_Score,Vehicle_Usage,Credit_Category
1,56,Male,Northern Cape,Self-employed,Degree,38,Mercedes,A200,2005,6100,0,1,304817,6195,Married,1,24,717,Private,Good
2,69,Male,Eastern Cape,Retired,Postgraduate,15,BMW,118i,2020,47430,1,1,734554,14946,Widowed,0,6,729,Commercial,Good
3,46,Female,Gauteng,Employed,Degree,28,Hyundai,i20,2018,8497,1,0,722032,14603,Divorced,0,12,658,Private,Fair
4,32,Male,Limpopo,Employed,Diploma,14,Volkswagen,Golf,2013,14886,1,1,359355,7447,Divorced,1,24,336,Commercial,Poor
5,60,Female,Eastern Cape,Employed,Diploma,42,Ford,EcoSport,2017,19092,1,1,1199878,24179,Widowed,1,6,328,Business,Poor
6,25,Male,Mpumalanga,Employed,High School,7,BMW,320i,2020,22856,0,2,877240,17776,Single,0,24,629,Business,Fair
7,38,Female,Limpopo,Unemployed,High School,20,BMW,X5,2013,28664,0,0,792669,16040,Single,1,6,763,Business,Very Good
8,56,Female,Western Cape,Employed,Degree,19,Volkswagen,Tiguan,2007,59507,0,0,1141701,23015,Divorced,0,12,804,Private,Excellent
9,36,Male,North West,Employed,Degree,2,Toyota,Corolla,2013,18862,0,0,391767,8075,Single,1,6,612,Business,Fair
10,40,Male,Western Cape,Self-employed,Postgraduate,22,Hyundai,i20,2020,31464,0,0,741067,15004,Divorced,0,6,822,Business,Excellent
11,28,Male,Mpumalanga,Student,High School,10,Toyota,Hilux,2018,35718,0,1,257499,5325,Divorced,0,12,779,Private,Very Good
12,28,Male,Limpopo,Self-employed,High School,10,Ford,Ranger,2002,42161,1,0,151074,3194,Divorced,1,12,597,Private,Fair
13,41,Female,Limpopo,Employed,Postgraduate,23,Hyundai,i20,2014,17667,0,1,997691,20130,Married,1,12,780,Commercial,Very Good
14,70,Male,Free State,Retired,Degree,17,Hyundai,Creta,2020,37934,1,0,969904,19639,Single,1,6,348,Business,Poor
15,53,Female,Northern Cape,Employed,High School,35,BMW,118i,2015,15601,0,0,127926,2697,Widowed,0,12,669,Private,Fair
16,57,Male,KwaZulu-Natal,Employed,Degree,16,Toyota,Hilux,2014,59088,0,2,638403,13011,Divorced,0,6,551,Business,Poor
17,41,Female,KwaZulu-Natal,Employed,Diploma,23,Volkswagen,Tiguan,2013,24909,0,0,1064801,21531,Divorced,1,24,405,Commercial,Poor
18,20,Male,Gauteng,Self-employed,Degree,2,Toyota,Fortuner,2014,58751,1,0,472167,9584,Widowed,1,24,463,Private,Poor
19,39,Male,Mpumalanga,Employed,Diploma,3,BMW,118i,2023,27120,2,1,643172,13070,Single,1,12,797,Private,Very Good
20,70,Female,Mpumalanga,Self-employed,Diploma,42,Mercedes,A200,2006,7806,0,0,89597,1983,Divorced,0,6,741,Commercial,Very Good
22,41,Male,Western Cape,Employed,Postgraduate,23,Mercedes,GLA,2008,22242,0,0,284651,5885,Divorced,1,6,543,Business,Poor
23,61,Male,KwaZulu-Natal,Employed,Diploma,2,Hyundai,Creta,2015,46884,0,0,1467018,29655,Divorced,0,24,308,Commercial,Poor
24,47,Male,Western Cape,Employed,Postgraduate,29,Ford,Fiesta,2001,58955,0,0,682031,13833,Single,0,24,463,Business,Poor
25,55,Male,Eastern Cape,Unemployed,High School,37,Ford,Ranger,2021,31264,0,0,746251,15073,Married,1,12,518,Private,Poor
26,19,Female,Eastern Cape,Self-employed,High School,1,Mercedes,A200,2022,56384,0,0,289338,6012,Married,1,24,517,Business,Poor
27,38,Male,Gauteng,Unemployed,Degree,12,Volkswagen,Polo,2006,46674,0,0,374848,7754,Single,1,24,480,Commercial,Poor
28,50,Female,Gauteng,Employed,Diploma,32,Toyota,Hilux,2011,40592,0,0,1020942,20596,Single,1,12,488,Commercial,Poor
29,29,Male,Free State,Employed,Degree,11,Toyota,Hilux,2015,21034,3,0,1489072,30000,Divorced,1,12,775,Commercial,Very Good
30,39,Male,Northern Cape,Unemployed,Diploma,21,BMW,320i,2003,34466,0,0,360739,7448,Widowed,1,24,401,Commercial,Poor
31,61,Female,North West,Employed,Diploma,39,Hyundai,Tucson,2001,50996,0,0,1451694,29195,Single,0,24,606,Private,Fair
32,42,Female,Northern Cape,Employed,Degree,18,Toyota,Corolla,2016,24692,0,1,824207,16765,Single,0,12,353,Commercial,Poor
33,66,Female,North West,Retired,Degree,25,Volkswagen,Tiguan,2016,27514,0,0,1382593,27886,Single,0,6,408,Business,Poor
34,44,Female,Eastern Cape,Employed,Degree,26,Ford,Fiesta,2002,14642,0,1,445820,9137,Widowed,0,12,584,Commercial,Fair
35,59,Female,Limpopo,Employed,Degree,6,Volkswagen,Golf,2015,29636,0,0,1075746,21753,Married,0,12,744,Business,Very Good
36,45,Male,Gauteng,Employed,High School,27,Mercedes,GLA,2022,43596,1,2,122779,2644,Divorced,0,12,816,Commercial,Excellent
37,33,Female,Northern Cape,Student,Diploma,15,Toyota,Hilux,2004,40727,0,0,1300576,26174,Divorced,0,12,773,Private,Very Good
